Bar0, -3.2790697674418623
Bar1, 12.02325581395349
Bar2, -3.1162790697674447
Bar3, -0.48837209302325546
Bar5, -0.6046511627906974
Bar7, -0.02325581395349104
Bar9, 0.1627906976744174
Bar11, -0.16279069767442067
Bar13, -0.44186046511628
Bar15, -0.18604651162790842
Bar16, -0.3023255813953504
Bar17, -0.2790697674418626
Bar18, -0.25581395348837493
Bar19, 0.1627906976744174
Bar20, 0.5581395348837203
Bar21, 0.8837209302325567
Bar22, 0.69767441860465
Bar23, -0.5581395348837219
Bar24, -2.3255813953488387
Bar25, -2.674418604651165
Bar26, -1.8837209302325586
Bar27, -1.3255813953488402
Bar28, -0.88372093023256
Bar29, -0.767441860465118
Bar30, -1.1162790697674438
Bar31, -1.1162790697674438
Bar32, -0.88372093023256
Bar33, -0.8139534883720935
Bar34, -0.3720930232558135
Bar35, 1.023255813953488
Bar36, 3.325581395348836
Bar37, 4.581395348837207
Bar38, 5.186046511627906
Bar39, 5.093023255813952
Bar40, 4.930232558139534
Bar41, 5.13953488372093
Bar42, 6.441860465116279
Bar43, 7.27906976744186
Bar44, 7.604651162790698
Bar45, 8.279069767441861
Bar46, 8.883720930232556
Bar47, 9.83720930232558
Bar48, 9.395348837209301
Bar49, 9.906976744186046
Bar50, 10.627906976744185
Bar51, 9.83720930232558
Bar52, 9.395348837209301
Bar53, 9.348837209302324
Bar54, 8.674418604651162
Bar55, 7.697674418604651
Bar56, 6.744186046511627
Bar57, 6.674418604651162
Bar58, 6.162790697674417
Bar59, 4.581395348837207
Bar60, 4.488372093023255
Bar61, 3.139534883720929
Bar62, 1.604651162790696
Bar63, 1.860465116279069
Bar64, 2.627906976744186
Bar65, 2.6744186046511613
Bar66, 1.9767441860465111
Bar67, 1.7906976744186025
Bar68, 2.2093023255813953
Bar69, 1.720930232558138
Bar70, 1.8837209302325573
Bar71, 2.3023255813953476
Bar72, 2.186046511627906
Bar73, 2.0697674418604635
Bar74, -2.8372093023255824
Bar75, -2.8604651162790695
Bar76, -2.8604651162790695
Bar77, -2.8604651162790695
Bar78, -2.883720930232561
Bar79, -2.8604651162790695
Bar80, -2.8604651162790695
Bar81, -2.8604651162790695
Bar82, -2.8604651162790695
Bar83, -2.883720930232561
Bar84, -2.8604651162790695
Bar85, -2.8604651162790695
Bar86, -2.883720930232561
Bar87, -2.883720930232561
Bar88, -2.813953488372094
Bar89, -2.8372093023255824
Bar90, -2.8604651162790695
Bar91, -2.883720930232561
Bar92, -2.883720930232561
Bar93, -2.906976744186048
Bar94, -2.813953488372094
Bar95, -2.8604651162790695
Bar96, -2.8372093023255824
Bar97, -2.8604651162790695
Bar98, -2.8372093023255824
Bar99, -2.8372093023255824
Bar100, -2.883720930232561
Bar101, -2.883720930232561
Bar102, -2.813953488372094
Bar103, -2.813953488372094
Bar104, -2.8372093023255824
Bar105, -2.8372093023255824
Bar106, -2.8604651162790695
Bar107, -2.8372093023255824
Bar108, -2.8604651162790695
Bar109, -2.8604651162790695
Bar110, -2.8604651162790695
Bar111, -2.883720930232561
Bar112, -2.8372093023255824
Bar113, -2.8604651162790695
Bar114, -2.8372093023255824
Bar115, -2.8372093023255824
Bar116, -2.8604651162790695
Bar117, -2.8604651162790695
Bar118, -2.883720930232561
Bar119, -2.906976744186048
Bar120, -2.9767441860465116
Bar115, -2.8372093023255824
Bar116, -2.883720930232561
Bar117, -2.883720930232561
Bar118, -2.930232558139536
Bar119, -2.953488372093024
Bar120, -2.906976744186048
Bar121, -2.930232558139536
Bar122, -2.953488372093024
Bar123, -2.906976744186048
Bar124, -2.906976744186048
Bar125, -2.906976744186048
Bar126, -2.930232558139536
Bar127, -2.930232558139536
Bar128, -2.883720930232561
Bar129, -2.883720930232561
Bar130, -2.906976744186048
Bar131, -2.9767441860465116
